城市,度k,P(k)实测,P(k)拟合
Chengdu,1,0.12901639,0.25274897
Chengdu,2,0.18606557,0.19948096
Chengdu,3,0.42229508,0.15744101
Chengdu,4,0.25234973,0.12426209
Chengdu,5,0.00748634,0.09807624
Chengdu,6,0.00153005,0.07740933
Chengdu,7,0.00060109,0.06109802
Chengdu,8,0.00043716,0.04822424
Chengdu,9,0.00010929,0.03806344
Chengdu,10,5.464e-05,0.0300438
Chengdu,11,5.464e-05,0.02371408
Dalian,1,0.18875413,0.27333131
Dalian,2,0.1723631,0.21589068
Dalian,3,0.4646086,0.17052321
Dalian,4,0.16883499,0.13469088
Dalian,5,0.00441014,0.1063893
Dalian,6,0.00095553,0.08403551
Dalian,7,7.35e-05,0.06637932
Dongguan,1,0.17245941,0.26632864
Dongguan,2,0.18568851,0.2126896
Dongguan,3,0.4420926,0.16985551
Dongguan,4,0.19314492,0.13564944
Dongguan,5,0.00589296,0.10833314
Dongguan,6,0.00060132,0.08651864
Dongguan,7,0.00012026,0.0690976
Harbin,1,0.15372425,0.25586379
Harbin,2,0.17330102,0.20780407
Harbin,3,0.45641838,0.16877309
Harbin,4,0.21068332,0.13707439
Harbin,5,0.0049408,0.1113303
Harbin,6,0.00074578,0.09042206
Harbin,7,0.00018645,0.07344113
Qingdao,1,0.18698719,0.26453287
Qingdao,2,0.16006909,0.20857234
Qingdao,3,0.38800921,0.16445167
Qingdao,4,0.25989636,0.12966549
Qingdao,5,0.00395854,0.10223863
Qingdao,6,0.00071974,0.08061395
Qingdao,7,0.00014395,0.0635638
Qingdao,8,0.00021592,0.05012035
Quanzhou,1,0.17119182,0.26082745
Quanzhou,2,0.21614951,0.21562918
Quanzhou,3,0.38205219,0.17826427
Quanzhou,4,0.22020451,0.14737492
Quanzhou,5,0.00705219,0.12183874
Quanzhou,6,0.00334979,0.10072788
Shenyang,1,0.09607692,0.23564334
Shenyang,2,0.15707692,0.19461594
Shenyang,3,0.49030769,0.1607336
Shenyang,4,0.24392308,0.13275167
Shenyang,5,0.00869231,0.10964235
Shenyang,6,0.00246154,0.09055694
Shenyang,7,0.00076923,0.07479458
Shenyang,9,0.00061538,0.05102489
Shenyang,14,7.692e-05,0.01961778
Zhengzhou,1,0.11536782,0.24644587
Zhengzhou,2,0.21731063,0.20453362
Zhengzhou,3,0.41693953,0.16975086
Zhengzhou,4,0.24568871,0.14088455
Zhengzhou,5,0.00360183,0.1169281
Zhengzhou,6,0.00098232,0.09704619
Zhengzhou,8,0.00010915,0.06685134
